date,query,device,cliques,impressoes,ctr,posicao
2025-12-22,almeida junior,MOBILE,6,32,0.1875,4.90625
2025-12-23,ajfans,MOBILE,6,14,0.42857142857142855,2.0
2025-12-23,almeida junior shopping,MOBILE,6,16,0.375,1.0
2025-12-23,grupo almeida junior,MOBILE,6,9,0.6666666666666666,1.0
2025-12-24,almeida junior,MOBILE,6,27,0.2222222222222222,3.888888888888889
2025-12-25,ajfans,MOBILE,6,21,0.2857142857142857,2.1904761904761907
2025-12-26,aj fans,MOBILE,6,13,0.46153846153846156,1.4615384615384617
2025-12-26,ajfans,DESKTOP,6,6,1.0,1.5
2025-12-26,almeida junior,MOBILE,6,45,0.13333333333333333,5.488888888888889
2025-12-27,ajfans,MOBILE,6,24,0.25,2.083333333333333
2026-01-01,almeida junior,MOBILE,6,36,0.16666666666666666,5.555555555555555
2026-01-03,almeida junior shopping,MOBILE,6,10,0.6,1.0
2026-01-06,almeida junior,MOBILE,6,39,0.15384615384615385,4.3076923076923075
2026-01-08,almeida junior,MOBILE,6,43,0.13953488372093023,3.186046511627907
2026-01-12,almeida junior shopping,MOBILE,6,11,0.5454545454545454,1.0
2026-01-12,almeida junior shopping centers,DESKTOP,6,11,0.5454545454545454,1.0
2026-01-13,grupo almeida junior,MOBILE,6,11,0.5454545454545454,1.0
2026-01-14,aj fans,DESKTOP,6,10,0.6,1.5
2026-01-14,almeida junior shopping,MOBILE,6,13,0.46153846153846156,1.0
2026-01-15,almeida junior shopping centers,DESKTOP,6,9,0.6666666666666666,1.0
2026-01-21,almeida junior,MOBILE,6,39,0.15384615384615385,4.230769230769231
2026-01-21,almeida junior vagas,MOBILE,6,6,1.0,1.0
2026-01-23,aj fans,MOBILE,6,6,1.0,1.0
2026-01-25,almeida junior,MOBILE,6,41,0.14634146341463414,4.024390243902439
2026-01-26,almeida junior,DESKTOP,6,32,0.1875,2.125
2026-01-27,almeida junior,MOBILE,6,39,0.15384615384615385,4.871794871794872
2026-01-27,almeida junior shopping,MOBILE,6,9,0.6666666666666666,1.0
2026-02-06,almeida junior,MOBILE,6,32,0.1875,4.0
2026-02-09,almeida junior,DESKTOP,6,46,0.13043478260869565,7.826086956521739
2026-02-09,almeida junior,MOBILE,6,44,0.13636363636363635,5.295454545454546
2026-02-10,almeida junior shopping centers,DESKTOP,6,6,1.0,1.0
2026-02-12,almeida junior shopping centers,DESKTOP,6,7,0.8571428571428571,1.0
2026-02-13,almeida junior,DESKTOP,6,30,0.2,2.7666666666666666
2026-02-18,aj fans,MOBILE,6,12,0.5,1.0833333333333333
2026-02-20,almeida junior,DESKTOP,6,24,0.25,3.5833333333333335
2026-02-21,aj fans,MOBILE,6,7,0.8571428571428571,1.0
2026-03-02,almeida junior shopping centers,DESKTOP,6,8,0.75,1.0
2026-03-04,almeida junior,DESKTOP,6,49,0.12244897959183673,3.7551020408163267
2026-03-05,almeida junior,DESKTOP,6,34,0.17647058823529413,4.0588235294117645
2026-03-10,almeida junior,DESKTOP,6,52,0.11538461538461539,9.634615384615385
2025-12-14,aj fans,MOBILE,5,6,0.8333333333333334,1.0
2025-12-14,ajfans,DESKTOP,5,9,0.5555555555555556,2.333333333333333
2025-12-15,ajfans,DESKTOP,5,9,0.5555555555555556,1.3333333333333333
2025-12-16,almeida junior,DESKTOP,5,29,0.1724137931034483,2.6206896551724137
2025-12-17,ajfans,DESKTOP,5,7,0.7142857142857143,1.8571428571428572
2025-12-17,ajfans,MOBILE,5,18,0.2777777777777778,1.9444444444444444
2025-12-18,almeida junior shopping,MOBILE,5,14,0.35714285714285715,1.0714285714285714
2025-12-22,ajfans,DESKTOP,5,12,0.4166666666666667,1.5
2025-12-22,ajfans,MOBILE,5,29,0.1724137931034483,2.0
2025-12-22,almeida junior shopping,DESKTOP,5,9,0.5555555555555556,1.0
2025-12-27,ajfans,DESKTOP,5,9,0.5555555555555556,1.6666666666666665
2025-12-28,almeida junior,DESKTOP,5,16,0.3125,2.75
2025-12-28,almeida junior,MOBILE,5,34,0.14705882352941177,5.147058823529412
2025-12-29,ajfans,MOBILE,5,19,0.2631578947368421,1.9473684210526314
2025-12-29,almeida junior,MOBILE,5,37,0.13513513513513514,5.108108108108108
2025-12-29,almeida junior shopping,MOBILE,5,10,0.5,1.0
2025-12-30,ajfans,DESKTOP,5,7,0.7142857142857143,1.7142857142857144
2025-12-30,ajfans,MOBILE,5,27,0.18518518518518517,2.111111111111111
2025-12-30,shopping almeida junior,MOBILE,5,8,0.625,1.0
2025-12-31,ajfans,MOBILE,5,16,0.3125,2.0
2026-01-03,ajfans,MOBILE,5,15,0.3333333333333333,1.9333333333333333
2026-01-05,almeida junior shopping,MOBILE,5,6,0.8333333333333334,1.0
2026-01-06,ajfans,DESKTOP,5,6,0.8333333333333334,1.0
2026-01-06,almeida junior shopping centers,DESKTOP,5,7,0.7142857142857143,1.0
2026-01-07,ajfans,DESKTOP,5,10,0.5,1.0
2026-01-08,ajfans,DESKTOP,5,8,0.625,1.25
2026-01-08,almeida junior ri,DESKTOP,5,5,1.0,1.0
2026-01-09,almeida junior,MOBILE,5,44,0.11363636363636363,4.840909090909091
2026-01-13,almeida junior,MOBILE,5,51,0.09803921568627451,4.901960784313726
2026-01-14,almeida junior,MOBILE,5,46,0.10869565217391304,4.608695652173913
2026-01-14,almeida junior shopping centers,DESKTOP,5,17,0.29411764705882354,28.176470588235293
2026-01-15,aj fans,DESKTOP,5,6,0.8333333333333334,1.8333333333333335
2026-01-16,ajfans,MOBILE,5,7,0.7142857142857143,2.0
2026-01-16,almeida junior,DESKTOP,5,33,0.15151515151515152,11.757575757575758
2026-01-16,almeida junior shopping,MOBILE,5,16,0.3125,1.0
2026-01-18,almeida junior shopping,MOBILE,5,10,0.5,1.0
2026-01-19,almeida junior,MOBILE,5,30,0.16666666666666666,3.1
2026-01-20,almeida junior shopping centers,DESKTOP,5,6,0.8333333333333334,1.0
2026-01-23,almeida junior,DESKTOP,5,39,0.1282051282051282,11.538461538461538
2026-01-25,almeida junior shopping,MOBILE,5,10,0.5,1.0
2026-01-26,almeida junior shopping,MOBILE,5,10,0.5,1.0
2026-01-30,almeida junior,MOBILE,5,32,0.15625,4.1875
2026-02-05,almeida junior shopping centers,DESKTOP,5,7,0.7142857142857143,1.0
2026-02-11,almeida junior,DESKTOP,5,36,0.1388888888888889,3.3333333333333335
2026-02-12,almeida junior,DESKTOP,5,25,0.2,2.56
2026-02-14,almeida junior,MOBILE,5,32,0.15625,5.3125
2026-02-17,almeida junior,MOBILE,5,29,0.1724137931034483,4.931034482758621
2026-02-19,almeida junior,DESKTOP,5,34,0.14705882352941177,4.382352941176471
2026-02-20,almeida junior,MOBILE,5,29,0.1724137931034483,4.827586206896552
2026-02-21,almeida junior shopping,MOBILE,5,10,0.5,1.1
2026-02-24,almeida junior,DESKTOP,5,28,0.17857142857142858,3.4285714285714284
2026-02-24,grupo almeida junior,DESKTOP,5,7,0.7142857142857143,1.4285714285714286
2026-02-27,almeida junior,MOBILE,5,43,0.11627906976744186,5.465116279069767
2026-03-06,almeida junior,DESKTOP,5,31,0.16129032258064516,3.5161290322580645
2025-12-13,almeida junior,MOBILE,4,39,0.10256410256410256,4.743589743589744
2025-12-13,cotton on joinville,MOBILE,4,29,0.13793103448275862,5.724137931034483
2025-12-14,almeida junior,MOBILE,4,34,0.11764705882352941,5.205882352941177
2025-12-14,grupo almeida junior,MOBILE,4,5,0.8,1.0
2025-12-15,almeida junior shopping,MOBILE,4,9,0.4444444444444444,1.0
2025-12-16,aj fans,MOBILE,4,8,0.5,1.75
2025-12-16,almeida junior shopping,MOBILE,4,11,0.36363636363636365,1.0
2025-12-17,almeida junior,MOBILE,4,36,0.1111111111111111,4.861111111111111
2025-12-18,ajfans,MOBILE,4,27,0.14814814814814814,1.925925925925926
2025-12-18,almeida junior,DESKTOP,4,21,0.19047619047619047,4.095238095238095
2025-12-18,almeida junior shopping centers,DESKTOP,4,8,0.5,1.0
2025-12-19,aj fans,DESKTOP,4,5,0.8,1.4
2025-12-20,ajfans,DESKTOP,4,4,1.0,1.25
2025-12-21,aj fans,MOBILE,4,8,0.5,1.0
2025-12-21,ajfans,DESKTOP,4,6,0.6666666666666666,2.0
2025-12-21,almeida junior,MOBILE,4,27,0.14814814814814814,4.703703703703704
2025-12-22,aj fans,DESKTOP,4,6,0.6666666666666666,1.0
2025-12-25,almeida junior,MOBILE,4,39,0.10256410256410256,5.102564102564102
2025-12-28,shopping almeida junior,MOBILE,4,6,0.6666666666666666,1.0
2025-12-29,ajfans,DESKTOP,4,5,0.8,1.4
2025-12-30,grupo almeida junior,MOBILE,4,7,0.5714285714285714,1.0
2025-12-31,almeida junior,DESKTOP,4,11,0.36363636363636365,4.0
2026-01-01,almeida junior shopping,MOBILE,4,6,0.6666666666666666,1.0
2026-01-02,almeida junior,MOBILE,4,47,0.0851063829787234,4.638297872340425
2026-01-03,aj fans,MOBILE,4,8,0.5,1.375
2026-01-04,ajfans,MOBILE,4,17,0.23529411764705882,2.1176470588235294
2026-01-08,ajfans,MOBILE,4,8,0.5,1.875
2026-01-08,almeida junior shopping,MOBILE,4,15,0.26666666666666666,1.0
2026-01-09,ajfans,DESKTOP,4,6,0.6666666666666666,2.0
2026-01-09,grupo almeida junior,DESKTOP,4,6,0.6666666666666666,1.0
2026-01-10,ajfans,MOBILE,4,19,0.21052631578947367,2.0
2026-01-12,ajfans,MOBILE,4,11,0.36363636363636365,2.0
2026-01-12,ajfans sorteio,MOBILE,4,7,0.5714285714285714,1.0
2026-01-13,ajfans,MOBILE,4,6,0.6666666666666666,2.0
2026-01-13,ajfans sorteio,DESKTOP,4,4,1.0,1.0
2026-01-16,grupo almeida junior,MOBILE,4,9,0.4444444444444444,1.0
2026-01-16,shopping almeida junior,DESKTOP,4,4,1.0,1.0
2026-01-19,almeida junior ri,DESKTOP,4,4,1.0,1.0
2026-01-20,grupo almeida junior,DESKTOP,4,9,0.4444444444444444,1.0
2026-01-21,almeida junior shopping centers,DESKTOP,4,7,0.5714285714285714,1.0
2026-01-23,almeida junior shopping centers,DESKTOP,4,5,0.8,1.0
2026-01-24,almeida junior shopping,MOBILE,4,6,0.6666666666666666,1.0
2026-01-28,almeida junior,MOBILE,4,42,0.09523809523809523,4.666666666666666
2026-01-30,almeida junior,DESKTOP,4,32,0.125,2.25
2026-01-30,almeida junior shopping,MOBILE,4,15,0.26666666666666666,1.0666666666666667
2026-02-01,grupo almeida junior,MOBILE,4,7,0.5714285714285714,1.0
2026-02-02,almeida junior vagas,DESKTOP,4,6,0.6666666666666666,1.0
2026-02-03,almeida junior,MOBILE,4,41,0.0975609756097561,5.048780487804878
2026-02-03,almeida junior shopping centers,DESKTOP,4,6,0.6666666666666666,1.0
2026-02-04,almeida junior,MOBILE,4,30,0.13333333333333333,4.266666666666667
2026-02-04,almeida junior shopping centers,DESKTOP,4,11,0.36363636363636365,1.0
2026-02-06,almeida junior shopping,MOBILE,4,9,0.4444444444444444,1.0
2026-02-08,ajfans,MOBILE,4,6,0.6666666666666666,1.1666666666666667
2026-02-08,almeida junior,MOBILE,4,34,0.11764705882352941,4.3235294117647065
2026-02-10,almeida junior shopping,MOBILE,4,7,0.5714285714285714,1.0
2026-02-12,almeida junior,MOBILE,4,30,0.13333333333333333,3.8
2026-02-13,almeida junior ri,DESKTOP,4,4,1.0,1.0
2026-02-13,almeida junior shopping centers,DESKTOP,4,6,0.6666666666666666,1.0
2026-02-18,almeida junior shopping,MOBILE,4,9,0.4444444444444444,1.0
2026-02-18,almeida junior shopping centers,DESKTOP,4,7,0.5714285714285714,1.0
2026-02-21,almeida junior,MOBILE,4,35,0.11428571428571428,4.542857142857143
2026-02-22,almeida junior shopping,MOBILE,4,8,0.5,1.0
2026-02-23,almeida junior,MOBILE,4,30,0.13333333333333333,4.666666666666666
2026-02-26,almeida junior shopping,MOBILE,4,11,0.36363636363636365,1.0
2026-03-01,almeida junior,MOBILE,4,34,0.11764705882352941,5.617647058823529
2026-03-05,almeida junior,MOBILE,4,46,0.08695652173913043,4.108695652173913
2026-03-05,grupo almeida junior,DESKTOP,4,9,0.4444444444444444,1.0
2026-03-05,grupo almeida junior,MOBILE,4,7,0.5714285714285714,1.0
2026-03-06,almeida junior ri,DESKTOP,4,4,1.0,1.0
2026-03-06,grupo almeida junior,MOBILE,4,8,0.5,1.0
2026-03-07,grupo almeida junior,MOBILE,4,7,0.5714285714285714,1.0
2026-03-08,almeida junior shopping,MOBILE,4,8,0.5,1.0
2026-03-09,almeida junior shopping,MOBILE,4,6,0.6666666666666666,1.0
2026-03-10,almeida junior ri,DESKTOP,4,4,1.0,1.0
2025-12-13,ajfans,DESKTOP,3,4,0.75,1.25
2025-12-14,ajfans,MOBILE,3,12,0.25,2.0
2025-12-14,almeida junior,DESKTOP,3,10,0.3,3.6
2025-12-14,almeida junior shopping,MOBILE,3,7,0.42857142857142855,1.1428571428571428
2025-12-15,aj fans,DESKTOP,3,5,0.6,1.8
2025-12-15,ajfans,MOBILE,3,11,0.2727272727272727,2.0
2025-12-15,almeida junior,MOBILE,3,31,0.0967741935483871,5.258064516129032
2025-12-16,aj fans,DESKTOP,3,4,0.75,1.25
2025-12-16,ajfans,DESKTOP,3,4,0.75,1.75
2025-12-16,almeida junior shopping centers,DESKTOP,3,4,0.75,1.0
2025-12-17,almeida junior,DESKTOP,3,25,0.12,14.84
2025-12-17,almeida junior shopping,MOBILE,3,9,0.3333333333333333,1.0
2025-12-17,almeida junior shopping centers,DESKTOP,3,4,0.75,1.0
2025-12-18,aj fans,MOBILE,3,6,0.5,1.0
2025-12-18,ajfans,DESKTOP,3,8,0.375,1.625
2025-12-18,ajfans app,MOBILE,3,10,0.3,2.3
2025-12-18,almeida junior shopping,DESKTOP,3,4,0.75,1.0
2025-12-19,aj fans,MOBILE,3,3,1.0,1.0
2025-12-19,almeida junior shopping,MOBILE,3,16,0.1875,1.0625
2025-12-19,grupo almeida junior,MOBILE,3,4,0.75,1.0
2025-12-21,ajfans app,MOBILE,3,12,0.25,2.0
2025-12-21,grupo almeida junior,MOBILE,3,4,0.75,1.0
2025-12-22,almeida junior shopping,MOBILE,3,10,0.3,1.0
2025-12-22,continente shopping,MOBILE,3,357,0.008403361344537815,6.890756302521009
2025-12-23,aj fans,MOBILE,3,9,0.3333333333333333,1.1111111111111112
2025-12-23,ajfans app,MOBILE,3,11,0.2727272727272727,2.1818181818181817
2025-12-24,ajfans,DESKTOP,3,3,1.0,1.3333333333333333
2025-12-26,ajfans app,MOBILE,3,12,0.25,2.166666666666667
2025-12-26,shopping almeida junior,MOBILE,3,11,0.2727272727272727,1.0909090909090908
2025-12-27,aj fans,MOBILE,3,10,0.3,1.0
2025-12-27,continente shopping,MOBILE,3,417,0.007194244604316547,7.045563549160671
2025-12-28,aj fans,MOBILE,3,6,0.5,1.0
2025-12-28,ajfans,MOBILE,3,12,0.25,2.333333333333333
2025-12-29,almeida junior,DESKTOP,3,21,0.14285714285714285,9.19047619047619
2025-12-29,almeida junior shopping centers,DESKTOP,3,4,0.75,1.0
2025-12-30,almeida junior,MOBILE,3,42,0.07142857142857142,5.476190476190476
2025-12-30,almeida junior shopping centers,DESKTOP,3,5,0.6,1.0
2026-01-01,ajfans,MOBILE,3,9,0.3333333333333333,1.8888888888888888
2026-01-02,ajfans,MOBILE,3,11,0.2727272727272727,2.2727272727272725
2026-01-02,almeida junior,DESKTOP,3,9,0.3333333333333333,3.0
2026-01-02,almeida junior trabalhe conosco,MOBILE,3,3,1.0,1.0
2026-01-02,grupo almeida junior,MOBILE,3,3,1.0,1.0
2026-01-03,almeida junior,MOBILE,3,39,0.07692307692307693,4.333333333333334
2026-01-05,aj fans,DESKTOP,3,6,0.5,1.0
2026-01-05,aj fans,MOBILE,3,3,1.0,1.0
2026-01-05,ajfans,DESKTOP,3,5,0.6,1.2
2026-01-05,almeida junior,MOBILE,3,41,0.07317073170731707,3.7804878048780486
2026-01-06,aj fans,DESKTOP,3,6,0.5,1.5
2026-01-06,almeida junior vagas,MOBILE,3,3,1.0,1.0
2026-01-07,almeida junior ri,DESKTOP,3,4,0.75,1.0
2026-01-08,aj fans,DESKTOP,3,3,1.0,1.3333333333333333
2026-01-08,ajfans app,MOBILE,3,10,0.3,2.0
2026-01-09,aj fans,DESKTOP,3,5,0.6,1.2
2026-01-09,almeida junior,DESKTOP,3,25,0.12,3.24
2026-01-10,ajfans,DESKTOP,3,7,0.42857142857142855,1.5714285714285714
2026-01-10,shopping almeida junior,MOBILE,3,8,0.375,1.375
2026-01-11,aj fans,MOBILE,3,9,0.3333333333333333,1.0
2026-01-11,ajfans sorteio,MOBILE,3,5,0.6,1.0
2026-01-12,almeida junior shopping,DESKTOP,3,4,0.75,1.0
2026-01-12,bemall,DESKTOP,3,4,0.75,2.5
2026-01-12,shopping almeida junior,DESKTOP,3,3,1.0,1.0
2026-01-13,almeida junior shopping,MOBILE,3,9,0.3333333333333333,1.0
2026-01-13,almeida junior shopping centers,MOBILE,3,3,1.0,1.0
2026-01-13,grupo almeida junior,DESKTOP,3,9,0.3333333333333333,1.0
2026-01-14,aj realty,DESKTOP,3,4,0.75,2.25
2026-01-14,ajfans,MOBILE,3,7,0.42857142857142855,2.0
2026-01-15,aj fans,MOBILE,3,4,0.75,1.0
2026-01-15,grupo almeida junior,DESKTOP,3,3,1.0,1.0
2026-01-15,shopping almeida junior,DESKTOP,3,3,1.0,1.0
2026-01-16,ajfans sorteio,DESKTOP,3,4,0.75,1.0
2026-01-16,sorteio almeida junior,DESKTOP,3,4,0.75,1.75
2026-01-16,sorteio almeida junior,MOBILE,3,10,0.3,2.1
2026-01-17,aj fans,MOBILE,3,5,0.6,2.0
2026-01-17,almeida junior shopping,MOBILE,3,8,0.375,1.0
2026-01-18,almeida junior,MOBILE,3,24,0.125,4.083333333333334
2026-01-19,almeida junior shopping,DESKTOP,3,7,0.42857142857142855,7.0
2026-01-19,jaimes almeida junior,DESKTOP,3,3,1.0,1.0
2026-01-20,almeida junior,MOBILE,3,31,0.0967741935483871,4.258064516129032
2026-01-20,almeida junior shoppings,DESKTOP,3,3,1.0,1.0
2026-01-20,bemall login,DESKTOP,3,4,0.75,2.75
2026-01-21,almeida junior shopping,MOBILE,3,11,0.2727272727272727,1.0
2026-01-22,almeida junior,MOBILE,3,25,0.12,3.68
2026-01-22,grupo almeida junior,DESKTOP,3,4,0.75,1.0
2026-01-23,ajfans,DESKTOP,3,4,0.75,1.0
2026-01-23,shopping almeida junior,MOBILE,3,5,0.6,1.2
2026-01-27,grupo almeida junior,DESKTOP,3,4,0.75,1.25
2026-01-27,grupo almeida junior,MOBILE,3,4,0.75,1.0
2026-01-28,almeida junior shopping,MOBILE,3,10,0.3,1.0
2026-01-29,almeida junior shopping centers,DESKTOP,3,5,0.6,1.0
2026-01-30,grupo almeida junior,DESKTOP,3,10,0.3,7.2
2026-01-30,shopping almeida junior,DESKTOP,3,3,1.0,1.0
2026-01-31,almeida junior,MOBILE,3,36,0.08333333333333333,4.138888888888889
2026-02-02,ajfans,MOBILE,3,7,0.42857142857142855,1.4285714285714286
2026-02-02,almeida junior,MOBILE,3,42,0.07142857142857142,3.9523809523809526
2026-02-03,almeida junior shopping,MOBILE,3,8,0.375,1.0
2026-02-04,aj fans,DESKTOP,3,4,0.75,1.25
2026-02-04,almeida junior,DESKTOP,3,22,0.13636363636363635,3.6363636363636362
2026-02-04,almeida junior shopping,MOBILE,3,9,0.3333333333333333,1.0
2026-02-04,grupo almeida junior,DESKTOP,3,5,0.6,1.0
2026-02-05,aj fans,MOBILE,3,5,0.6,1.0
2026-02-05,almeida junior,DESKTOP,3,23,0.13043478260869565,3.260869565217391
2026-02-05,almeida junior shopping,MOBILE,3,8,0.375,1.0
2026-02-05,grupo almeida junior,DESKTOP,3,3,1.0,1.0
2026-02-05,grupo almeida junior,MOBILE,3,4,0.75,1.0
2026-02-06,almeida junior shopping centers,DESKTOP,3,4,0.75,1.0
2026-02-07,almeida junior,MOBILE,3,24,0.125,5.0
2026-02-08,almeida junior shopping,MOBILE,3,11,0.2727272727272727,1.0
2026-02-10,grupo almeida junior,MOBILE,3,5,0.6,1.0
2026-02-11,almeida junior shopping centers,DESKTOP,3,5,0.6,1.0
2026-02-13,ajfans,MOBILE,3,7,0.42857142857142855,2.0
2026-02-17,ajfans,MOBILE,3,7,0.42857142857142855,1.4285714285714286
2026-02-17,grupo almeida junior,MOBILE,3,4,0.75,1.0
2026-02-18,grupo almeida junior,MOBILE,3,3,1.0,1.0
2026-02-20,almeida junior shopping,MOBILE,3,7,0.42857142857142855,1.0
2026-02-20,almeida junior shopping centers,MOBILE,3,3,1.0,1.0
2026-02-20,grupo almeida junior,DESKTOP,3,7,0.42857142857142855,1.0
2026-02-21,shoppings almeida junior,MOBILE,3,4,0.75,1.0
2026-02-22,shoppings almeida junior,MOBILE,3,3,1.0,1.0
2026-02-23,almeida junior shopping centers,DESKTOP,3,5,0.6,1.0
2026-02-23,bemall,DESKTOP,3,6,0.5,3.1666666666666665
2026-02-25,almeida junior shopping centers,DESKTOP,3,6,0.5,1.0
2026-02-25,grupo almeida junior,MOBILE,3,5,0.6,1.0
2026-02-26,almeida junior,MOBILE,3,41,0.07317073170731707,5.2926829268292686
2026-02-27,grupo almeida junior,MOBILE,3,3,1.0,1.0
2026-02-28,almeida junior,MOBILE,3,32,0.09375,4.96875
