date,deviceCategory,browser,operatingSystem,sessions,totalUsers,bounceRate,averageSessionDuration,conversions,totalRevenue
20250505,mobile,Android Webview,Android,1760.0,1603.0,0.6579545454545455,109.63735299261364,24.0,0.0
20250506,mobile,Android Webview,Android,1560.0,1437.0,0.6352564102564102,105.02660211923076,18.0,0.0
20250504,mobile,Android Webview,Android,1532.0,1472.0,0.6292428198433421,95.53209600913837,18.0,0.0
20250503,mobile,Android Webview,Android,1326.0,1284.0,0.748868778280543,39.892874260180996,2.0,0.0
20250809,mobile,Safari (in-app),iOS,1293.0,1291.0,0.945862335653519,1.9640794462490334,34.0,0.0
20250831,mobile,Safari (in-app),iOS,1293.0,1289.0,0.9396751740139211,4.996520339520495,15.0,0.0
20250830,mobile,Safari (in-app),iOS,1231.0,1226.0,0.9333874898456539,3.3826012152721363,19.0,0.0
20250906,mobile,Safari (in-app),iOS,1135.0,1133.0,0.9409691629955947,2.607440416740088,25.0,0.0
20250429,mobile,Android Webview,Android,1115.0,1071.0,0.7730941704035874,37.85707283587444,1.0,0.0
20250430,mobile,Android Webview,Android,1041.0,1011.0,0.7617675312199808,41.27732009606147,1.0,0.0
20251004,mobile,Safari (in-app),iOS,1040.0,1034.0,0.8740384615384615,6.317110051923078,90.0,0.0
20250816,mobile,Safari (in-app),iOS,1016.0,1011.0,0.9448818897637795,2.1687386171259844,17.0,0.0
20250726,mobile,Chrome,Android,1012.0,958.0,0.5711462450592886,74.7394621403162,8.0,0.0
20250726,mobile,Safari (in-app),iOS,1011.0,1012.0,0.9535113748763601,3.565069964391692,8.0,0.0
20250816,mobile,Chrome,Android,1010.0,962.0,0.6039603960396039,84.08020417425742,7.0,0.0
20250727,mobile,Safari (in-app),iOS,1008.0,1006.0,0.9484126984126984,2.371118488095238,17.0,0.0
20250722,mobile,Chrome,Android,984.0,921.0,0.5995934959349594,71.96362898069106,4.0,0.0
20250823,mobile,Safari (in-app),iOS,981.0,978.0,0.9490316004077471,2.0656403781855253,36.0,0.0
20250907,mobile,Safari (in-app),iOS,975.0,973.0,0.9476923076923077,2.4509388256410256,28.0,0.0
20250727,mobile,Chrome,Android,952.0,899.0,0.6039915966386554,65.43359273739496,5.0,0.0
20251018,mobile,Safari (in-app),iOS,950.0,939.0,0.7863157894736842,43.87583861894737,8.0,0.0
20251005,mobile,Safari (in-app),iOS,947.0,941.0,0.8426610348468849,5.8613336356916586,115.0,0.0
20250817,mobile,Safari (in-app),iOS,945.0,943.0,0.9417989417989417,3.4822594613756617,14.0,0.0
20250830,mobile,Chrome,Android,933.0,870.0,0.6216505894962486,65.28103414898177,2.0,0.0
20250927,mobile,Safari (in-app),iOS,928.0,927.0,0.8631465517241379,4.979447351293103,86.0,0.0
